Stkcd,Year,Net Fixed Assets,Total Assets,Total liabilities,Depreciation and amortization,Net profit,Trdsta,Nnindcd,OWNERSHIPTYPECODE,M2,Lev,NPR,Size,Tang,Growth,NDTS,SOE
002156,2018,6599085149.0,13968377343.0,7465778979.0,1020767896.0,153031426.4,1.0,C39,P0306,8.9443284,0.5344771834032205,0.0109555621703396,23.36006185049835,0.4724303322394861,0.1500009638119341,0.07165958932046154,0
002156,2019,7438503387.0,16157098083.0,9654979065.0,1223022652.0,37442467.84,1.0,C39,P0306,8.7447711,0.5975688836820686,0.0023174005410907,23.505625299842222,0.4603861008200825,0.156691123546776,0.07080996788881423,0
002156,2020,9037038283.0,21230751087.0,11215801611.0,1547561850.0,388510516.0,1.0,C39,P0306,10.0834733,0.5282809621308053,0.0182994240009668,23.77871649060384,0.4256579640526026,0.3140200658519453,0.07174760173376428,0
002156,2021,13165952032.0,27101066164.0,16078671530.0,2009587203.0,966475673.9,1.0,C39,P0306,8.9676257,0.593285571597116,0.0356619059948212,24.02283890590321,0.4858093756285181,0.2765005841265082,0.06836127966485316,0
002156,2022,15128866989.0,35629428284.0,21067472623.0,2956324807.0,530484194.6,1.0,C39,P0306,11.8100353,0.5912941531105259,0.014888933675038,24.296437770519056,0.4246171695040606,0.3146873288449716,0.06953532900066013,0
002156,2023,15912258214.0,34877709853.0,20183867943.0,3521553333.0,215994713.0,1.0,C39,P0306,9.6982498,0.5787039352087473,0.0061929155873581,24.27511377594744,0.4562300185724869,-0.0210982456695094,0.0650228034190064,0
002156,2024,18007531930.0,39340187388.0,23628932361.0,3194218813.0,791500778.8,1.0,C39,P0306,7.2743696,0.6006309051849501,0.0201193952380977,24.39551241319033,0.4577388448203697,0.1279464034137597,0.07033807387178873,0
002156,2025,23356817204.0,47266459661.0,30125174756.0,3472716159.0,1377229578.0,1.0,C39,P0306,8.5342965,0.6373478143288266,0.0291375657893067,24.579066782839234,0.4941520344768265,0.2014802876973017,0.07325643963790546,0
002159,2010,482031952.0,1000488406.0,555020541.2,38835843.72,32213275.79,1.0,N,P0301,19.7330678,0.5547495981677574,0.0321975503132417,20.723754123715025,0.4817966396304247,0.1824191880405488,0.0388168853203082,1
002159,2011,518265799.3,1208065351.0,719505783.8,41530135.11,43482430.03,1.0,N,P0301,17.3229731,0.5955851504261874,0.0359934419061076,20.912286033505698,0.4290047710341127,0.2074756126659203,0.0343773911532373,1
002159,2012,606844631.6,1419779639.0,821722514.8,44695103.19,59110596.04,1.0,N,P0301,14.3916404,0.5787676426876833,0.041633641176622,21.07376751271451,0.4274217032915204,0.1752506913841617,0.0314803100159122,1
002159,2013,690666284.6,1671953392.0,817013285.3,49991147.62,42138907.46,1.0,N,P0301,13.5889076,0.4886579310220389,0.0252033984090867,21.237258475622305,0.4130894365265895,0.1776147129265881,0.0298998452105176,1
